School Name,Start Date,End Date,Notes,Degree Name,Activities
Grenoble Ecole de Management,Dec 2020,Dec 2021,"2021 Best Dissertation Winner — ""Website Strategy and Coordination of Multinational Companies""  Thesis research on how MNCs strategize website layouts across subsidiaries using globalization, localization, and hybrid approaches. Examined coordination between HQ and foreign units including cultural/language barriers and internal communication.  Coursework in Big Data, Agile/Scrum, e-commerce, digital transformation, branding, and innovation. Google certification. Live business case projects.",Master of Science - MS,
Speakeasy Berlin,2018,2019,,Language School,
University of Georgia - Terry College of Business,2008,2012,"Coursework in Marketing Analytics, Information Systems, Consumer Behavior, Marketing Research, and Statistical Analysis for Business. Sales Strategy and Professional Selling concentration.",Bachelor's degree,"Business Leadership Program, Terry Sales Competition, Italian Studies, Swahili Studies"
